Date,Open,High,Low,Close,Adj Close,Volume
18-03-2024,2624.949951,2675,2525,2536.100098,2536.100098,279645
19-03-2024,2530,2557.399902,2456.5,2474.199951,2474.199951,179391
20-03-2024,2487.899902,2678,2486.050049,2591.649902,2591.649902,603067
21-03-2024,2649.949951,2669,2601.850098,2615.850098,2615.850098,272225
22-03-2024,2620.050049,2719.949951,2615.949951,2660.649902,2660.649902,440571
26-03-2024,2735,2760.899902,2674.649902,2722.050049,2722.050049,516991
27-03-2024,2730.050049,2999,2653.899902,2973.050049,2973.050049,1237051
28-03-2024,3040,3115,2975.100098,3045,3045,872601
01-04-2024,3125,3143.949951,3001.399902,3025.5,3025.5,475470
02-04-2024,3018.050049,3058.899902,2989.100098,3010.649902,3010.649902,274153
03-04-2024,3030.050049,3215,3030.050049,3171.300049,3171.300049,663984
04-04-2024,3185.300049,3229.149902,2970.050049,3019.899902,3019.899902,986043
05-04-2024,3000.899902,3001,2932.100098,2977.899902,2977.899902,480310
08-04-2024,2998.399902,3042.25,2932.050049,2945.149902,2945.149902,279413
09-04-2024,2960,2974.600098,2836,2850,2850,428173
10-04-2024,2854.699951,2937.699951,2821.050049,2912.050049,2912.050049,444470
12-04-2024,2906.199951,2910.899902,2871.199951,2881,2881,288710
15-04-2024,2785,2864.199951,2722.050049,2835.149902,2835.149902,371901
16-04-2024,2770,2889,2770,2852.050049,2852.050049,331160
18-04-2024,3089,3100,2771,2792.800049,2792.800049,2686390
19-04-2024,2779.949951,2779.949951,2675.449951,2688.100098,2688.100098,1161724
22-04-2024,2729.949951,2840,2711.25,2825.699951,2825.699951,727746
23-04-2024,2858,2884,2825,2856.300049,2856.300049,409100
24-04-2024,2869.399902,2880.800049,2827.300049,2841.899902,2841.899902,276260
25-04-2024,2824.75,2850,2805.050049,2837.050049,2837.050049,218458
26-04-2024,2841,2926,2800,2816.800049,2816.800049,316313
29-04-2024,2885,2890,2750,2763.850098,2763.850098,363358
30-04-2024,2789.949951,2830,2765,2786.600098,2786.600098,226866
02-05-2024,2794.399902,2810.75,2769.600098,2777.300049,2777.300049,595938
03-05-2024,2792,2797.949951,2705.550049,2716.699951,2716.699951,240090
06-05-2024,2742.25,2749.949951,2620.300049,2630.550049,2630.550049,353957
07-05-2024,2660,2701.149902,2575.050049,2583.649902,2583.649902,416067
08-05-2024,2583.649902,2620,2560,2571.350098,2571.350098,308574
09-05-2024,2585,2614.850098,2405,2420.350098,2420.350098,689238
10-05-2024,2473.899902,2530,2413.850098,2470.149902,2470.149902,677597
13-05-2024,2485.949951,2527.949951,2401,2476.949951,2476.949951,817772
14-05-2024,2490,2629.800049,2490,2612.050049,2612.050049,725957
15-05-2024,2640.050049,2701,2563.449951,2680.899902,2680.899902,665604
16-05-2024,2702,2730,2683,2721.350098,2721.350098,428450
17-05-2024,2735,2758,2710.050049,2749.300049,2749.300049,289363
21-05-2024,2756.5,2757.5,2635,2657,2657,512799
22-05-2024,2670,2676.699951,2595,2606.100098,2606.100098,377871
23-05-2024,2610,2646,2608,2617.600098,2617.600098,250520
24-05-2024,2618,2635,2596,2599.550049,2599.550049,195163
27-05-2024,2625,2664.600098,2580,2582.75,2582.75,282154
28-05-2024,2590,2600,2525,2537.75,2537.75,217353
29-05-2024,2525,2537.75,2486,2492.5,2492.5,288175
30-05-2024,2492.5,2507.949951,2460,2474.199951,2474.199951,354853
31-05-2024,2495.899902,2505,2437.050049,2467.300049,2467.300049,545433
03-06-2024,2645,2646.850098,2542,2577.75,2577.75,588066
04-06-2024,2570,2570,2129.699951,2247.850098,2247.850098,1337948
05-06-2024,2325,2404.050049,2285,2352.949951,2352.949951,777796
